[2020-09-01 00:15:35.472425] [info]: adexmtsv starts.
[2020-09-01 00:15:35.475425] [info]: Backend is https server.
[2020-09-01 00:15:36.263399] [info]: Start acceptor.
[2020-09-01 00:15:36.326372] [info]: New Pipe Session.
[2020-09-01 00:15:36.379771] [info]: New Pipe Session.
[2020-09-01 00:15:36.518250] [info]: New Pipe Session.
[2020-09-01 00:15:36.589655] [info]: New Pipe Session.
[2020-09-01 00:15:40.072151] [info]: New Pipe Session.
[2020-09-01 00:22:02.461439] [info]: New Pipe Session.
[2020-09-01 00:22:11.189260] [info]: set token : eyJhbGciOiJIUzI1NiIsImtpZCI6Imp3dF9zeW1tZXRyaWNfa2V5In0.eyJzY29wZSI6WyJkYXRhOnJlYWQiLCJkYXRhOndyaXRlIiwiZGF0YTpjcmVhdGUiLCJkYXRhOnNlYXJjaCIsInVzZXItcHJvZmlsZTpyZWFkIiwiYWNjb3VudDpyZWFkIiwiYWNjb3VudDp3cml0ZSJdLCJjbGllbnRfaWQiOiJQeHZKbUdZM1prOXBrV3BYOFU2dFQwUlRwVDRWdlRLSSIsImdyYW50X2lkIjoidjFSc1ZnS3ZXTlM3NFZGSjBOeVFCTlI1ZjlvUUlUdFMiLCJhdWQiOiJodHRwczovL2F1dG9kZXNrLmNvbS9hdWQvand0ZXhwNjAiLCJqdGkiOiJFOG1GTDlxWkxBUFNLYnR2OGk5dE1HMjJheVZ0Y3p3aXZpWjlwRGxDa01iZmhzVjdES092VmJMR1VZRjVxS2dLIiwidXNlcmlkIjoiSkRGM0wzRkgzQ0M4IiwiZXhwIjoxNTk4OTAzMzkyfQ.1GgEdJpskQyEMCv7MAaa8_Xz5ak5az1Mel1itzL-GIg
[2020-09-01 00:22:11.191263] [info]: fetch category list with cookie: QueryCategory_BA5EE55E-9982-449B-9D66-9F036540E140environment
[2020-09-01 00:22:11.191263] [info]:  download file: resource/CategoryList/type=environment url:https://raas-assets.autodesk.com/Asset/CloudSearch?q=(and+(term+field%3D%27company%27+%27autodesk%27)(term+field%3D%27families%27+%27Prism.Fusion.2016%27)(range+field%3D%27schema_set_id%27+{,3]))&q.parser=structured&facet.category={sort:%27bucket%27,size:1000}&size=0&return=_no_fields&domain=environments
[2020-09-01 00:22:11.223885] [info]: set token : eyJhbGciOiJIUzI1NiIsImtpZCI6Imp3dF9zeW1tZXRyaWNfa2V5In0.eyJzY29wZSI6WyJkYXRhOnJlYWQiLCJkYXRhOndyaXRlIiwiZGF0YTpjcmVhdGUiLCJkYXRhOnNlYXJjaCIsInVzZXItcHJvZmlsZTpyZWFkIiwiYWNjb3VudDpyZWFkIiwiYWNjb3VudDp3cml0ZSJdLCJjbGllbnRfaWQiOiJQeHZKbUdZM1prOXBrV3BYOFU2dFQwUlRwVDRWdlRLSSIsImdyYW50X2lkIjoidjFSc1ZnS3ZXTlM3NFZGSjBOeVFCTlI1ZjlvUUlUdFMiLCJhdWQiOiJodHRwczovL2F1dG9kZXNrLmNvbS9hdWQvand0ZXhwNjAiLCJqdGkiOiJFOG1GTDlxWkxBUFNLYnR2OGk5dE1HMjJheVZ0Y3p3aXZpWjlwRGxDa01iZmhzVjdES092VmJMR1VZRjVxS2dLIiwidXNlcmlkIjoiSkRGM0wzRkgzQ0M4IiwiZXhwIjoxNTk4OTAzMzkyfQ.1GgEdJpskQyEMCv7MAaa8_Xz5ak5az1Mel1itzL-GIg
[2020-09-01 00:22:11.224925] [info]: fetch material list in  with cookie:AssetList/__libraryId:BA5EE55E-9982-449B-9D66-9F036540E140__materialList:
[2020-09-01 00:22:11.224925] [info]:  download file: resource/AssetList/type=materialappearance/category= url:https://raas-assets.autodesk.com/Asset/CloudSearch?q=(and+(term+field%3D%27company%27+%27autodesk%27)(term+field%3D%27families%27+%27Prism.Fusion.2016%27)(range+field%3D%27schema_set_id%27+{,3]))&q.parser=structured&domain=materials&size=500&sort=ui_name%20asc&return=category,ui_name,immutable_asset,description,schema,keywords,identifier,thumbnail,thumbnail_full,version
[2020-09-01 00:22:11.225847] [info]: fetch material list in  with cookie:AssetList/__libraryId:user/JDF3L3FH3CC8/content/private/__materialList:
[2020-09-01 00:22:11.225847] [info]:  download file: resource/AssetList/type=materialappearance/category= url:https://raas-assets.autodesk.com/Asset/CloudSearch?q=%28and%20schema_set_id:{,3]%20owner:%27JDF3L3FH3CC8%27%20%29&q.parser=structured&pretty=true&domain=materials&size=500
[2020-09-01 00:22:17.936564] [info]: fetch /slib/resource/cloud/thumbnail/1/PrismWood-006.jpg with cookie:AssetList/__libraryId:BA5EE55E-9982-449B-9D66-9F036540E140__materialList:
[2020-09-01 00:22:17.936564] [info]: fetch /slib/resource/cloud/thumbnail/1/PrismWood-012.jpg with cookie:AssetList/__libraryId:BA5EE55E-9982-449B-9D66-9F036540E140__materialList:
[2020-09-01 00:22:17.936564] [info]: fetch /slib/resource/cloud/thumbnail/1/PrismWood-023.jpg with cookie:AssetList/__libraryId:BA5EE55E-9982-449B-9D66-9F036540E140__materialList:
